"","count","n","output"
"1",1903868,1,"the"
"2",1104839,1,"to"
"3",966169,1,"and"
"4",955229,1,"a"
"5",802975,1,"of"
"6",661944,1,"in"
"7",659290,1,"i"
"8",440942,1,"for"
"9",429520,1,"is"
"10",416316,1,"that"
"11",374963,1,"you"
"12",365094,1,"it"
"13",330108,1,"on"
"14",285797,1,"with"
"15",249907,1,"was"
"16",241355,1,"my"
"17",228651,1,"at"
"18",219920,1,"be"
"19",217071,1,"this"
"20",212559,1,"have"
"21",196032,1,"are"
"22",193190,1,"but"
"23",192813,1,"as"
"24",177643,1,"â"
"25",171260,1,"he"
"26",165475,1,"we"
"27",164469,1,"not"
"28",153921,1,"so"
"29",153322,1,"from"
"30",148130,1,"me"
"31",136102,1,"all"
"32",128629,1,"they"
"33",126611,1,"will"
"34",126414,1,"by"
"35",125535,1,"or"
"36",122140,1,"said"
"37",121900,1,"just"
"38",121571,1,"up"
"39",121181,1,"your"
"40",120296,1,"his"
"41",120062,1,"out"
"42",119505,1,"an"
"43",119086,1,"one"
"44",118200,1,"about"
"45",111621,1,"if"
"46",110905,1,"what"
"47",109013,1,"like"
"48",105419,1,"when"
"49",104192,1,"s"
"50",103875,1,"has"
"51",99548,1,"who"
"52",98354,1,"can"
"53",97559,1,"more"
"54",97137,1,"do"
"55",92581,1,"had"
"56",91116,1,"get"
"57",89768,1,"time"
"58",84388,1,"there"
"59",83490,1,"her"
"60",82259,1,"would"
"61",81674,1,"their"
"62",80249,1,"no"
"63",80235,1,"some"
"64",78674,1,"she"
"65",78083,1,"new"
"66",75419,1,"been"
"67",74066,1,"our"
"68",73496,1,"i'm"
"69",72413,1,"it's"
"70",71893,1,"good"
"71",71645,1,"now"
"72",71441,1,"were"
"73",70236,1,"how"
"74",70200,1,"day"
"75",65567,1,"know"
"76",64746,1,"them"
"77",64530,1,"love"
"78",63388,1,"people"
"79",58032,1,"back"
"80",57646,1,"which"
"81",56584,1,"go"
"82",56465,1,"than"
"83",56276,1,"first"
"84",55460,1,"year"
"85",55381,1,"see"
"86",53505,1,"after"
"87",52982,1,"into"
"88",52425,1,"make"
"89",52266,1,"also"
"90",51378,1,"don't"
"91",51342,1,"over"
"92",51036,1,"its"
"93",50963,1,"going"
"94",50874,1,"only"
"95",50720,1,"t"
"96",50605,1,"other"
"97",50303,1,"last"
"98",50206,1,"think"
"99",49815,1,"then"
"100",49543,1,"great"
"101",49307,1,"two"
"102",48307,1,"much"
"103",47906,1,"him"
"104",47620,1,"because"
"105",47360,1,"us"
"106",46061,1,"too"
"107",46052,1,"really"
"108",45779,1,"well"
"109",45281,1,"way"
"110",44573,1,"could"
"111",44201,1,"today"
"112",43475,1,"got"
"113",43298,1,"even"
"114",43027,1,"want"
"115",42487,1,"work"
"116",41628,1,"right"
"117",41536,1,"did"
"118",41161,1,"off"
"119",40863,1,"still"
"120",39711,1,"here"
"121",39627,1,"thanks"
"122",39346,1,"need"
"123",38751,1,"am"
"124",38708,1,"where"
"125",37969,1,"very"
"126",37531,1,"most"
"127",37264,1,"years"
"128",37062,1,"any"
"129",36184,1,"life"
"130",36083,1,"down"
"131",35839,1,"before"
"132",35720,1,"rt"
"133",35431,1,"many"
"134",35176,1,"those"
"135",34715,1,"should"
"136",34699,1,"say"
"137",34298,1,"being"
"138",34193,1,"take"
"139",33619,1,"made"
"140",33564,1,"come"
"141",33434,1,"these"
"142",33375,1,"little"
"143",33364,1,"home"
"144",32721,1,"never"
"145",32083,1,"best"
"146",32047,1,"may"
"147",31714,1,"u"
"148",31238,1,"week"
"149",30983,1,"through"
"150",30960,1,"while"
"151",30940,1,"next"
"152",30732,1,"night"
"153",30442,1,"why"
"154",29849,1,"school"
"155",29800,1,"game"
"156",29730,1,"things"
"157",28906,1,"lol"
"158",28555,1,"something"
"159",27586,1,"long"
"160",27201,1,"always"
"161",27140,1,"state"
"162",26959,1,"around"
"163",26950,1,"better"
"164",26948,1,"that's"
"165",26774,1,"happy"
"166",26630,1,"another"
"167",26504,1,"can't"
"168",26202,1,"every"
"169",26199,1,"world"
"170",26089,1,"show"
"171",25911,1,"old"
"172",25629,1,"big"
"173",25586,1,"three"
"174",25485,1,"look"
"175",24513,1,"man"
"176",24120,1,"same"
"177",24052,1,"iâ"
"178",24045,1,"again"
"179",23672,1,"since"
"180",23613,1,"city"
"181",23601,1,"few"
"182",23225,1,"feel"
"183",23036,1,"follow"
"184",22623,1,"such"
"185",22596,1,"help"
"186",22556,1,"hope"
"187",22443,1,"sure"
"188",22273,1,"use"
"189",22231,1,"thing"
"190",21797,1,"find"
"191",21706,1,"own"
"192",21598,1,"ever"
"193",21457,1,"lot"
"194",21442,1,"getting"
"195",21432,1,"high"
"196",21388,1,"days"
"197",21327,1,"you're"
"198",21179,1,"house"
"199",21051,1,"keep"
"200",21023,1,"says"
"201",20929,1,"both"
"202",20842,1,"does"
"203",20777,1,"place"
"204",20748,1,"team"
"205",20573,1,"part"
"206",20467,1,"family"
"207",20355,1,"tonight"
"208",20275,1,"each"
"209",20190,1,"until"
"210",20152,1,"looking"
"211",20037,1,"put"
"212",19928,1,"let"
"213",19869,1,"end"
"214",19823,1,"give"
"215",19699,1,"though"
"216",19665,1,"thank"
"217",19591,1,"play"
"218",19579,1,"free"
"219",19569,1,"didn't"
"220",19484,1,"itâ"
"221",19474,1,"i've"
"222",19396,1,"doing"
"223",19121,1,"d"
