"","count","n","col1","output"
"1",172065,2,"of","the"
"2",163679,2,"in","the"
"3",85286,2,"to","the"
"4",80265,2,"for","the"
"5",78543,2,"on","the"
"6",64956,2,"to","be"
"7",56723,2,"at","the"
"8",49932,2,"and","the"
"9",47854,2,"in","a"
"10",42160,2,"with","the"
"11",40661,2,"is","a"
"12",38345,2,"it","was"
"13",37791,2,"for","a"
"14",34785,2,"from","the"
"15",34522,2,"i","have"
"16",34388,2,"i","was"
"17",32966,2,"and","i"
"18",32575,2,"with","a"
"19",32540,2,"it","is"
"20",32434,2,"will","be"
"21",32191,2,"going","to"
"22",31907,2,"of","a"
"23",30807,2,"i","am"
"24",29456,2,"have","a"
"25",29234,2,"if","you"
"26",29168,2,"is","the"
"27",29078,2,"one","of"
"28",28282,2,"to","get"
"29",27596,2,"as","a"
"30",25686,2,"want","to"
"31",24713,2,"have","to"
"32",24544,2,"by","the"
"33",24021,2,"that","the"
"34",23622,2,"to","do"
"35",23430,2,"this","is"
"36",23262,2,"and","a"
"37",22997,2,"i","think"
"38",22985,2,"out","of"
"39",22973,2,"the","first"
"40",22767,2,"was","a"
"41",22443,2,"to","a"
"42",21618,2,"to","see"
"43",21534,2,"on","a"
"44",20815,2,"that","i"
"45",20546,2,"all","the"
"46",20435,2,"but","i"
"47",20316,2,"i","love"
"48",19756,2,"the","same"
"49",19242,2,"have","been"
"50",19221,2,"to","make"
"51",19203,2,"you","can"
"52",19049,2,"a","lot"
"53",18923,2,"be","a"
"54",18621,2,"itâ","s"
"55",18176,2,"he","was"
"56",18055,2,"thanks","for"
"57",17844,2,"would","be"
"58",17839,2,"need","to"
"59",17660,2,"of","my"
"60",17520,2,"has","been"
"61",17463,2,"i","don't"
"62",17419,2,"a","few"
"63",17273,2,"you","are"
"64",17158,2,"more","than"
"65",16835,2,"in","my"
"66",16669,2,"when","i"
"67",16599,2,"about","the"
"68",16597,2,"as","the"
"69",16500,2,"a","little"
"70",16490,2,"to","go"
"71",16315,2,"i","can"
"72",16274,2,"a","great"
"73",16272,2,"you","have"
"74",16128,2,"i","had"
"75",16100,2,"to","have"
"76",16058,2,"the","best"
"77",15870,2,"thank","you"
"78",15798,2,"a","good"
"79",15667,2,"he","said"
"80",15452,2,"i","know"
"81",15304,2,"into","the"
"82",15173,2,"had","a"
"83",15126,2,"they","are"
"84",15037,2,"we","are"
"85",14573,2,"i","just"
"86",14561,2,"there","is"
"87",14093,2,"is","not"
"88",14060,2,"that","is"
"89",13608,2,"the","new"
"90",13414,2,"donâ","t"
"91",13391,2,"a","new"
"92",13381,2,"over","the"
"93",13308,2,"the","most"
"94",13280,2,"there","are"
"95",13132,2,"the","world"
"96",13125,2,"i","will"
"97",13107,2,"so","i"
"98",13004,2,"we","have"
"99",13003,2,"like","a"
"100",12860,2,"part","of"
"101",12816,2,"so","much"
"102",12682,2,"do","you"
"103",12628,2,"iâ","m"
"104",12547,2,"trying","to"
"105",12489,2,"lot","of"
"106",12412,2,"i","would"
"107",12394,2,"but","the"
"108",12280,2,"was","the"
"109",12045,2,"all","of"
"110",12021,2,"at","least"
"111",11964,2,"on","my"
"112",11799,2,"and","then"
"113",11770,2,"back","to"
"114",11720,2,"the","way"
"115",11611,2,"as","well"
"116",11404,2,"are","you"
"117",11363,2,"able","to"
"118",11340,2,"you","know"
"119",11290,2,"if","i"
"120",11181,2,"some","of"
"121",11137,2,"the","last"
"122",11073,2,"at","a"
"123",11043,2,"can","be"
"124",11018,2,"of","his"
"125",11007,2,"to","me"
"126",10802,2,"for","me"
"127",10796,2,"up","to"
"128",10686,2,"i","want"
"129",10679,2,"is","that"
"130",10655,2,"the","other"
"131",10620,2,"when","you"
"132",10549,2,"the","time"
"133",10540,2,"go","to"
"134",10470,2,"the","next"
"135",10353,2,"in","this"
"136",10274,2,"to","take"
"137",10236,2,"way","to"
"138",10180,2,"time","to"
"139",10013,2,"and","it"
"140",9814,2,"right","now"
"141",9798,2,"according","to"
"142",9708,2,"that","was"
"143",9678,2,"that","he"
"144",9675,2,"kind","of"
"145",9653,2,"to","my"
"146",9600,2,"he","is"
"147",9546,2,"should","be"
"148",9435,2,"i","could"
"149",9401,2,"of","this"
"150",9363,2,"had","to"
"151",9297,2,"they","were"
"152",9251,2,"the","end"
"153",9248,2,"the","day"
"154",9231,2,"the","only"
"155",9210,2,"but","it"
"156",9164,2,"has","a"
"157",9156,2,"this","year"
"158",9152,2,"in","his"
"159",9111,2,"be","the"
"160",9088,2,"when","the"
"161",9008,2,"what","i"
"162",8957,2,"to","say"
"163",8895,2,"me","to"
"164",8802,2,"of","course"
"165",8772,2,"from","a"
"166",8711,2,"as","i"
"167",8624,2,"â","œ"
"168",8554,2,"it's","a"
"169",8544,2,"a","bit"
"170",8488,2,"get","a"
"171",8487,2,"i","got"
"172",8458,2,"would","have"
"173",8441,2,"i","need"
"174",8414,2,"i","can't"
"175",8410,2,"with","my"
"176",8391,2,"and","that"
"177",8389,2,"i","do"
"178",8374,2,"of","our"
"179",8345,2,"said","the"
"180",8339,2,"how","to"
"181",8262,2,"a","year"
"182",8232,2,"through","the"
"183",8070,2,"like","the"
"184",8067,2,"wanted","to"
"185",8036,2,"that","you"
"186",7996,2,"she","was"
"187",7974,2,"which","is"
"188",7966,2,"new","york"
"189",7952,2,"after","the"
"190",7944,2,"that","it"
"191",7925,2,"not","a"
"192",7893,2,"to","work"
"193",7883,2,"like","to"
"194",7854,2,"it","to"
"195",7827,2,"are","the"
"196",7734,2,"have","the"
"197",7714,2,"year","old"
"198",7665,2,"for","you"
"199",7647,2,"the","state"
"200",7626,2,"it","would"
"201",7621,2,"and","we"
"202",7545,2,"into","a"
"203",7544,2,"of","their"
"204",7536,2,"of","them"
"205",7509,2,"the","city"
"206",7507,2,"end","of"
"207",7494,2,"that","we"
"208",7487,2,"i","hope"
"209",7447,2,"this","week"
"210",7414,2,"during","the"
"211",7372,2,"last","year"
"212",7360,2,"there","was"
"213",7321,2,"we","can"
"214",7312,2,"to","find"
"215",7283,2,"is","to"
"216",7260,2,"by","a"
"217",7257,2,"for","my"
"218",7254,2,"i","feel"
"219",7180,2,"to","help"
"220",7175,2,"up","with"
"221",7156,2,"out","the"
"222",7148,2,"most","of"
"223",7124,2,"such","as"
"224",7106,2,"you","want"
"225",7088,2,"up","the"
"226",7073,2,"it","will"
"227",7066,2,"we","were"
"228",7051,2,"to","keep"
"229",7017,2,"i","thought"
"230",7001,2,"such","a"
"231",6933,2,"did","not"
"232",6932,2,"that","they"
"233",6908,2,"i'm","not"
"234",6886,2,"of","it"
"235",6829,2,"of","your"
"236",6829,2,"when","he"
"237",6826,2,"up","and"
"238",6818,2,"to","you"
"239",6814,2,"not","to"
"240",6809,2,"what","you"
"241",6803,2,"he","has"
"242",6789,2,"because","of"
"243",6759,2,"could","be"
"244",6755,2,"and","he"
"245",6735,2,"had","been"
"246",6723,2,"love","you"
"247",6723,2,"said","he"
"248",6718,2,"and","his"
"249",6715,2,"they","have"
"250",6710,2,"if","the"
"251",6706,2,"the","game"
"252",6702,2,"in","your"
"253",6678,2,"off","the"
"254",6677,2,"she","said"
"255",6643,2,"i","like"
"256",6635,2,"the","year"
"257",6620,2,"a","big"
"258",6604,2,"the","past"
"259",6602,2,"i","did"
"260",6596,2,"make","it"
"261",6578,2,"and","you"
"262",6576,2,"do","it"
"263",6573,2,"forward","to"
"264",6564,2,"i","get"
"265",6539,2,"in","an"
"266",6535,2,"didnâ","t"
"267",6507,2,"the","right"
"268",6496,2,"used","to"
"269",6493,2,"a","very"
"270",6480,2,"you","to"
"271",6476,2,"what","is"
"272",6463,2,"out","to"
"273",6462,2,"to","come"
"274",6406,2,"around","the"
"275",6405,2,"can't","wait"
"276",6392,2,"a","couple"
"277",6358,2,"do","not"
"278",6356,2,"make","a"
"279",6337,2,"know","what"
"280",6266,2,"just","a"
"281",6261,2,"and","they"
"282",6261,2,"last","night"
"283",6232,2,"the","second"
"284",6216,2,"of","those"
"285",6180,2,"i","really"
"286",6155,2,"and","other"
"287",6118,2,"to","know"
"288",6112,2,"a","long"
"289",6108,2,"try","to"
"290",6098,2,"you","will"
"291",6097,2,"is","in"
"292",6080,2,"iâ","ve"
"293",6079,2,"is","an"
"294",6061,2,"in","their"
"295",6053,2,"it","has"
"296",6039,2,"because","i"
"297",6035,2,"about","it"
"298",6013,2,"looking","for"
"299",6012,2,"get","to"
"300",6001,2,"me","and"
"301",5998,2,"thatâ","s"
"302",5958,2,"look","at"
"303",5918,2,"he","had"
"304",5910,2,"are","not"
"305",5909,2,"of","all"
"306",5905,2,"see","you"
"307",5894,2,"to","give"
"308",5876,2,"my","life"
"309",5870,2,"the","top"
"310",5868,2,"is","it"
"311",5864,2,"people","who"
"312",5853,2,"for","this"
"313",5837,2,"been","a"
"314",5832,2,"got","a"
"315",5829,2,"up","in"
"316",5815,2,"in","and"
"317",5811,2,"see","the"
"318",5752,2,"get","the"
"319",5742,2,"i","didn't"
"320",5739,2,"and","in"
"321",5733,2,"who","is"
"322",5726,2,"is","going"
"323",5723,2,"of","you"
"324",5719,2,"high","school"
"325",5676,2,"well","as"
"326",5640,2,"may","be"
"327",5617,2,"not","the"
"328",5605,2,"the","one"
"329",5598,2,"no","one"
"330",5594,2,"in","our"
"331",5582,2,"don't","know"
"332",5566,2,"to","play"
"333",5524,2,"did","you"
"334",5515,2,"on","this"
"335",5501,2,"take","a"
"336",5496,2,"years","ago"
"337",5494,2,"the","rest"
"338",5492,2,"that","would"
"339",5441,2,"know","that"
"340",5433,2,"before","the"
"341",5431,2,"be","in"
"342",5423,2,"so","many"
"343",5414,2,"it's","not"
"344",5412,2,"of","her"
"345",5396,2,"the","house"
"346",5395,2,"you","don't"
"347",5388,2,"at","all"
"348",5362,2,"you","get"
"349",5359,2,"the","u.s"
"350",5358,2,"to","use"
"351",5356,2,"of","us"
"352",5352,2,"number","of"
"353",5348,2,"is","so"
"354",5337,2,"it","and"
"355",5332,2,"are","a"
"356",5331,2,"was","in"
"357",5320,2,"for","your"
"358",5277,2,"be","able"
"359",5267,2,"of","that"
"360",5265,2,"was","not"
"361",5264,2,"let","me"
"362",5258,2,"on","your"
"363",5256,2,"we","had"
"364",5250,2,"you","for"
"365",5218,2,"not","be"
"366",5212,2,"if","they"
"367",5195,2,"it","in"
"368",5168,2,"to","all"
"369",5156,2,"the","two"
"370",5146,2,"we","will"
"371",5138,2,"feel","like"
"372",5123,2,"follow","me"
"373",5102,2,"them","to"
"374",5100,2,"when","it"
"375",5097,2,"and","my"
"376",5094,2,"for","all"
"377",5088,2,"than","the"
"378",5087,2,"last","week"
"379",5084,2,"ready","to"
"380",5077,2,"she","is"
"381",5071,2,"and","to"
"382",5071,2,"to","hear"
"383",5047,2,"those","who"
"384",5043,2,"i","hate"
"385",5043,2,"on","his"
"386",5029,2,"what","the"
"387",5016,2,"enough","to"
"388",5014,2,"with","you"
"389",5006,2,"the","whole"
"390",4986,2,"instead","of"
"391",4986,2,"to","start"
"392",4982,2,"lots","of"
"393",4969,2,"went","to"
"394",4964,2,"first","time"
"395",4958,2,"check","out"
"396",4948,2,"after","a"
"397",4929,2,"when","they"
"398",4920,2,"and","not"
"399",4919,2,"couple","of"
"400",4919,2,"you","think"
"401",4913,2,"of","these"
"402",4909,2,"is","no"
"403",4852,2,"you","and"
"404",4831,2,"the","people"
"405",4822,2,"you","do"
"406",4820,2,"s","a"
"407",4816,2,"how","much"
"408",4809,2,"and","is"
"409",4807,2,"is","one"
"410",4803,2,"back","in"
"411",4802,2,"who","are"
"412",4797,2,"this","morning"
"413",4785,2,"come","to"
"414",4785,2,"with","his"
"415",4764,2,"does","not"
"416",4758,2,"out","there"
"417",4736,2,"canâ","t"
"418",4724,2,"to","his"
"419",4710,2,"a","day"
"420",4708,2,"hard","to"
"421",4707,2,"love","to"
"422",4699,2,"but","he"
"423",4699,2,"so","far"
"424",4697,2,"up","for"
"425",4694,2,"i","guess"
"426",4692,2,"what","a"
"427",4676,2,"of","an"
"428",4656,2,"i","donâ"
"429",4655,2,"rest","of"
"430",4643,2,"to","your"
"431",4634,2,"down","the"
"432",4623,2,"me","a"
"433",4614,2,"looking","forward"
"434",4614,2,"will","have"
"435",4596,2,"you","need"
"436",4582,2,"said","â"
"437",4582,2,"wait","to"
"438",4571,2,"â","the"
"439",4568,2,"too","much"
"440",4560,2,"with","me"
"441",4557,2,"that","are"
"442",4554,2,"as","it"
"443",4554,2,"if","it"
"444",4553,2,"in","that"
"445",4551,2,"against","the"
"446",4547,2,"up","on"
"447",4546,2,"away","from"
"448",4542,2,"i've","been"
"449",4522,2,"might","be"
"450",4513,2,"hope","you"
"451",4510,2,"to","this"
"452",4504,2,"about","a"
"453",4489,2,"as","an"
"454",4488,2,"decided","to"
"455",4477,2,"got","to"
"456",4476,2,"when","we"
"457",4462,2,"for","an"
"458",4459,2,"i","wish"
"459",4421,2,"that","will"
"460",4415,2,"the","company"
"461",4369,2,"thanks","to"
"462",4361,2,"the","fact"
"463",4351,2,"than","a"
"464",4346,2,"under","the"
"465",4339,2,"it","all"
"466",4337,2,"you","should"
"467",4336,2,"to","win"
"468",4334,2,"about","to"
"469",4334,2,"you","guys"
"470",4322,2,"is","my"
"471",4320,2,"time","for"
"472",4300,2,"having","a"
"473",4290,2,"that","a"
"474",4287,2,"this","was"
"475",4286,2,"him","to"
"476",4285,2,"for","his"
"477",4283,2,"it","out"
"478",4281,2,"this","weekend"
"479",4280,2,"â","and"
"480",4279,2,"and","more"
"481",4279,2,"out","and"
"482",4276,2,"we","need"
"483",4275,2,"across","the"
"484",4275,2,"â","œi"
"485",4260,2,"this","time"
"486",4258,2,"to","put"
"487",4242,2,"wants","to"
"488",4235,2,"must","be"
"489",4233,2,"make","sure"
"490",4227,2,"or","the"
"491",4226,2,"who","was"
"492",4219,2,"many","of"
"493",4199,2,"don't","have"
"494",4199,2,"said","that"
"495",4192,2,"their","own"
"496",4189,2,"make","the"
"497",4188,2,"where","the"
"498",4187,2,"of","people"
"499",4182,2,"up","a"
"500",4171,2,"a","week"
"501",4168,2,"have","you"
"502",4157,2,"each","other"
"503",4157,2,"my","favorite"
"504",4148,2,"as","much"
"505",4142,2,"and","was"
"506",4138,2,"of","what"
"507",4135,2,"a","small"
"508",4130,2,"love","the"
"509",4129,2,"there","were"
"510",4124,2,"time","i"
"511",4122,2,"or","a"
"512",4120,2,"doesnâ","t"
"513",4102,2,"to","watch"
"514",4099,2,"the","big"
"515",4079,2,"as","they"
"516",4079,2,"not","only"
"517",4078,2,"think","i"
"518",4071,2,"who","has"
"519",4054,2,"is","just"
"520",4037,2,"the","country"
"521",4031,2,"with","an"
"522",4029,2,"like","that"
"523",4025,2,"along","with"
"524",4024,2,"as","he"
"525",4023,2,"for","some"
"526",4020,2,"and","all"
"527",4002,2,"but","not"
"528",3994,2,"the","book"
"529",3987,2,"if","we"
"530",3976,2,"need","a"
"531",3969,2,"of","its"
"532",3967,2,"know","how"
"533",3964,2,"ready","for"
"534",3962,2,"can","do"
"535",3960,2,"st","louis"
"536",3954,2,"the","â"
"537",3952,2,"now","i"
"538",3949,2,"â","â"
"539",3945,2,"based","on"
"540",3941,2,"the","season"
"541",3934,2,"talking","about"
"542",3932,2,"youâ","re"
"543",3925,2,"so","that"
"544",3923,2,"in","which"
"545",3921,2,"fact","that"
"546",3920,2,"and","have"
"547",3913,2,"for","more"
"548",3912,2,"that","she"
"549",3911,2,"on","their"
"550",3910,2,"have","no"
"551",3908,2,"to","meet"
"552",3907,2,"you","were"
"553",3906,2,"in","her"
"554",3900,2,"to","our"
