"","count","n","col2","col1","output"
"1",13761,3,"one","of","the"
"2",11906,3,"a","lot","of"
"3",9581,3,"thanks","for","the"
"4",7451,3,"to","be","a"
"5",7045,3,"going","to","be"
"6",5956,3,"the","end","of"
"7",5897,3,"i","want","to"
"8",5890,3,"out","of","the"
"9",5691,3,"it","was","a"
"10",5479,3,"as","well","as"
"11",5371,3,"some","of","the"
"12",5226,3,"be","able","to"
"13",4893,3,"part","of","the"
"14",4649,3,"i","donâ","t"
"15",4636,3,"i","have","a"
"16",4498,3,"looking","forward","to"
"17",4482,3,"the","rest","of"
"18",4462,3,"i","have","to"
"19",4087,3,"is","going","to"
"20",4068,3,"thank","you","for"
"21",4022,3,"a","couple","of"
"22",4022,3,"the","first","time"
"23",3880,3,"this","is","a"
"24",3825,3,"end","of","the"
"25",3783,3,"i","need","to"
"26",3760,3,"you","want","to"
"27",3726,3,"there","is","a"
"28",3653,3,"you","have","to"
"29",3631,3,"i","love","you"
"30",3593,3,"the","fact","that"
"31",3488,3,"to","go","to"
"32",3392,3,"in","the","world"
"33",3391,3,"it","would","be"
"34",3374,3,"one","of","my"
"35",3341,3,"can't","wait","to"
"36",3318,3,"i","don't","know"
"37",3284,3,"at","the","end"
"38",3271,3,"this","is","the"
"39",3241,3,"to","have","a"
"40",3227,3,"it","is","a"
"41",3220,3,"is","one","of"
"42",3213,3,"for","the","follow"
"43",3195,3,"in","the","first"
"44",3193,3,"most","of","the"
"45",3191,3,"there","is","no"
"46",3159,3,"i'm","going","to"
"47",3154,3,"for","the","first"
"48",3042,3,"according","to","the"
"49",3041,3,"all","of","the"
"50",3030,3,"of","the","year"
"51",3002,3,"you","have","a"
"52",2960,3,"the","united","states"
"53",2949,3,"in","front","of"
"54",2866,3,"if","you","are"
"55",2829,3,"to","be","the"
"56",2815,3,"i","had","to"
"57",2770,3,"i","had","a"
"58",2750,3,"i","have","been"
"59",2749,3,"of","the","day"
"60",2734,3,"rest","of","the"
"61",2675,3,"to","make","a"
"62",2653,3,"have","a","great"
"63",2637,3,"i","think","i"
"64",2629,3,"i","wanted","to"
"65",2627,3,"back","to","the"
"66",2551,3,"it","will","be"
"67",2535,3,"to","see","the"
"68",2524,3,"want","to","be"
"69",2523,3,"as","much","as"
"70",2516,3,"in","order","to"
"71",2503,3,"when","i","was"
"72",2491,3,"i","feel","like"
"73",2440,3,"one","of","those"
"74",2431,3,"at","the","same"
"75",2421,3,"in","the","past"
"76",2419,3,"if","you","have"
"77",2390,3,"to","get","a"
"78",2370,3,"was","going","to"
"79",2365,3,"of","the","most"
"80",2353,3,"are","going","to"
"81",2345,3,"to","see","you"
"82",2340,3,"i","don't","think"
"83",2338,3,"i","will","be"
"84",2335,3,"the","same","time"
"85",2324,3,"if","you","want"
"86",2310,3,"at","the","time"
"87",2309,3,"to","do","with"
"88",2309,3,"we","need","to"
"89",2289,3,"have","to","be"
"90",2286,3,"a","bit","of"
"91",2272,3,"itâ","s","a"
"92",2258,3,"would","like","to"
"93",2243,3,"there","was","a"
"94",2233,3,"let","me","know"
"95",2202,3,"not","going","to"
"96",2200,3,"a","little","bit"
"97",2198,3,"it","was","the"
"98",2197,3,"i","am","not"
"99",2167,3,"you","need","to"
"100",2143,3,"a","year","old"
"101",2135,3,"in","the","middle"
"102",2112,3,"to","make","it"
"103",2103,3,"don't","want","to"
"104",2087,3,"as","long","as"
