"","count","n","col3","col2","col1","output"
"1",3131,4,"the","end","of","the"
"2",2666,4,"at","the","end","of"
"3",2658,4,"the","rest","of","the"
"4",2547,4,"thanks","for","the","follow"
"5",2359,4,"for","the","first","time"
"6",2077,4,"at","the","same","time"
"7",1779,4,"is","going","to","be"
"8",1719,4,"one","of","the","most"
"9",1685,4,"is","one","of","the"
"10",1609,4,"when","it","comes","to"
"11",1501,4,"in","the","middle","of"
"12",1470,4,"going","to","be","a"
"13",1432,4,"to","be","able","to"
"14",1345,4,"if","you","want","to"
"15",1339,4,"thanks","for","the","rt"
"16",1291,4,"thank","you","for","the"
"17",1223,4,"one","of","the","best"
"18",1207,4,"can't","wait","to","see"
"19",1118,4,"thank","you","so","much"
"20",1117,4,"in","the","united","states"
"21",1008,4,"i","am","going","to"
"22",995,4,"i","don't","want","to"
"23",980,4,"i","donâ","t","know"
"24",925,4,"i","would","like","to"
"25",915,4,"the","top","of","the"
"26",908,4,"by","the","end","of"
"27",896,4,"i","was","going","to"
"28",896,4,"the","middle","of","the"
"29",877,4,"was","one","of","the"
"30",875,4,"one","of","my","favorite"
"31",872,4,"for","the","rest","of"
"32",855,4,"a","lot","of","people"
"33",848,4,"it's","going","to","be"
"34",825,4,"as","well@the",NA,NA
"35",809,4,"i","can't","wait","to"
"36",802,4,"on","the","other","hand"
"37",768,4,"in","front","of","the"
"38",766,4,"to","go","to","the"
"39",759,4,"said","in","a","statement"
"40",748,4,"a","bit","of","a"
"41",743,4,"i","wish","i","could"
"42",733,4,"the","bottom","of","the"
"43",731,4,"will","be","able","to"
"44",726,4,"the","first","time","in"
"45",709,4,"a","member","of","the"
"46",708,4,"what","do","you","think"
"47",692,4,"i","would","love","to"
"48",690,4,"going","to","have","to"
"49",689,4,"donâ","t","want","to"
"50",686,4,"at","the","university","of"
"51",679,4,"have","a","great","day"
"52",671,4,"have","a","lot","of"
"53",666,4,"i","want","to","be"
"54",659,4,"hope","to","see","you"
"55",643,4,"as","much@i",NA,NA
"56",638,4,"for","a","long","time"
"57",634,4,"i","just","want","to"
"58",631,4,"a","little","bit","of"
"59",621,4,"iâ","m","going","to"
"60",616,4,"i","was","able","to"
"61",614,4,"i","donâ","t","think"
"62",610,4,"in","the","first","place"
"63",609,4,"on","my","way","to"
"64",598,4,"are","you","going","to"
"65",598,4,"thanks","so","much","for"
"66",596,4,"i","have","no","idea"
"67",590,4,"as","a","result","of"
"68",585,4,"the","back","of","the"
"69",582,4,"as","part","of","the"
"70",579,4,"in","the","block","of"
"71",577,4,"have","a","great","weekend"
"72",576,4,"i","thought","it","was"
"73",574,4,"was","going","to","be"
"74",572,4,"â","he","said","â"
"75",564,4,"at","the","top","of"
"76",548,4,"if","you","have","a"
"77",547,4,"end","of","the","day"
"78",546,4,"had","a","great","time"
"79",539,4,"to","get","out","of"
"80",534,4,"the","best","way","to"
"81",533,4,"i","have","to","say"
"82",531,4,"i","don't","know","what"
"83",530,4,"nothing","to","do","with"
"84",528,4,"let","me","know","if"
"85",521,4,"are","going","to","be"
"86",517,4,"i","look","forward","to"
"87",517,4,"looking","forward","to","the"
"88",514,4,"hope","you","have","a"
"89",508,4,"for","the","most","part"
"90",502,4,"thanks","for","the","mention"
"91",502,4,"the","beginning","of","the"
"92",500,4,"most","of","the","time"
"93",497,4,"be","a","part","of"
"94",495,4,"i","feel","like","i"
"95",493,4,"as","one","of","the"
"96",491,4,"you","don't","have","to"
"97",484,4,"do","you","have","a"
"98",484,4,"on","the","other","side"
"99",484,4,"to","be","in","the"
"100",479,4,"i","don't","know","if"
"101",477,4,"we","are","going","to"
"102",475,4,"as","well@a",NA,NA
"103",472,4,"a","few","years","ago"
"104",471,4,"there","are","so","many"
"105",469,4,"thanks","for","the","ff"
"106",466,4,"as","soon@i",NA,NA
"107",465,4,"it","would","be","a"
"108",464,4,"a","lot","of","the"
"109",459,4,"to","go","back","to"
"110",455,4,"to","do","with","the"
"111",455,4,"turned","out","to","be"
"112",449,4,"so","much","for","the"
"113",448,4,"on","the","way","to"
"114",444,4,"trying","to","figure","out"
"115",443,4,"thank","you","for","your"
"116",442,4,"i","donâ","t","want"
"117",442,4,"of","the","united","states"
"118",437,4,"i","need","to","get"
"119",436,4,"the","fact","that","the"
"120",435,4,"this","is","one","of"
"121",433,4,"you","so","much","for"
"122",432,4,"are","a","lot","of"
"123",429,4,"i'm","not","going","to"
"124",429,4,"the","other","side","of"
"125",425,4,"in","the","midst","of"
"126",425,4,"to","come","up","with"
"127",424,4,"a","lot","of","time"
"128",421,4,"there","are","a","lot"
"129",417,4,"i","don't","know","how"
"130",417,4,"in","the","first","round"
"131",415,4,"â","â","â","â"
"132",414,4,"for","those","of","you"
"133",414,4,"if","you","donâ","t"
"134",413,4,"in","the","form","of"
"135",412,4,"for","the","shout","out"
"136",410,4,"is","one","of","my"
"137",409,4,"a","great","way","to"
"138",408,4,"a","lot","of","fun"
"139",407,4,"i","wish","i","had"
"140",406,4,"had","a","lot","of"
"141",406,4,"in","addition","to","the"
"142",406,4,"the","start","of","the"
"143",401,4,"a","part","of","the"
"144",401,4,"that","awkward","moment","when"
"145",401,4,"there","will","be","a"
"146",399,4,"when","i","was","a"
"147",398,4,"for","a","couple","of"
"148",397,4,"as","part","of","a"
"149",396,4,"you","are","going","to"
"150",395,4,"the","new","york","times"
"151",394,4,"a","few","weeks","ago"
"152",394,4,"at","the","time","of"
"153",394,4,"what","are","you","doing"
"154",392,4,"a","couple","of","weeks"
"155",387,4,"in","a","way","that"
"156",387,4,"looking","forward","to","it"
"157",387,4,"the","fact","that","i"
"158",386,4,"looking","forward","to","seeing"
"159",386,4,"on","top","of","the"
"160",384,4,"want","to","go","to"
"161",383,4,"at","the","beginning","of"
"162",383,4,"in","new","york","city"
"163",383,4,"to","get","back","to"
"164",381,4,"in","the","case","of"
"165",381,4,"the","first","time","i"
"166",381,4,"the","name","of","the"
"167",381,4,"you","want","to","be"
"168",380,4,"thanks","for","the","shout"
"169",379,4,"do","you","want","to"
"170",378,4,"wait","to","see","you"
"171",378,4,"you","don't","want","to"
"172",375,4,"i","want","to","go"
"173",375,4,"in","the","second","half"
"174",375,4,"this","is","the","first"
"175",374,4,"in","the","first","half"
"176",374,4,"should","be","able","to"
"177",373,4,"find","a","way","to"
