"","count","n","col4","col3","col2","col1","output"
"1",1503,5,"at","the","end","of","the"
"2",703,5,"in","the","middle","of","the"
"3",605,5,"for","the","first","time","in"
"4",528,5,"the","end","of","the","day"
"5",506,5,"by","the","end","of","the"
"6",430,5,"thank","you","so","much","for"
"7",427,5,"for","the","rest","of","the"
"8",413,5,"is","going","to","be","a"
"9",402,5,"there","are","a","lot","of"
"10",343,5,"to","be","a","part","of"
"11",336,5,"it's","going","to","be","a"
"12",332,5,"thanks","for","the","shout","out"
"13",322,5,"i","donâ","t","want","to"
"14",320,5,"is","one","of","the","most"
"15",318,5,"for","the","first","time","since"
"16",309,5,"the","other","side","of","the"
"17",308,5,"can't","wait","to","see","you"
"18",307,5,"let","me","know","if","you"
"19",287,5,"the","end","of","the","year"
"20",285,5,"at","the","top","of","the"
"21",275,5,"on","the","other","side","of"
"22",268,5,"â","â","â","â","â"
"23",264,5,"i","can't","wait","to","see"
"24",258,5,"this","is","going","to","be"
"25",248,5,"thank","you","for","the","follow"
"26",246,5,"and","the","rest","of","the"
"27",245,5,"thanks","so","much","for","the"
"28",241,5,"i","love","you","so","much"
"29",235,5,"but","at","the","same","time"
"30",231,5,"for","those","of","you","who"
"31",229,5,"in","the","middle","of","a"
"32",224,5,"i","thought","it","would","be"
"33",224,5,"keep","up","the","good","work"
"34",222,5,"hope","you","have","a","great"
"35",222,5,"this","is","one","of","the"
"36",219,5,"has","nothing","to","do","with"
"37",217,5,"at","the","bottom","of","the"
"38",217,5,"i","have","no","idea","what"
"39",209,5,"is","one","of","the","best"
"40",203,5,"to","be","one","of","the"
"41",201,5,"at","the","time","of","the"
"42",197,5,"for","a","chance","to","win"
"43",196,5,"the","rest","of","the","world"
"44",195,5,"the","end","of","the","month"
"45",194,5,"if","you","would","like","to"
"46",191,5,"at","the","beginning","of","the"
"47",191,5,"the","middle","of","the","night"
"48",185,5,"to","figure","out","how","to"
"49",184,5,"the","rest","of","the","day"
"50",179,5,"happy","mother's","day","to","all"
"51",178,5,"all","you","have","to","do"
"52",174,5,"thank","you","for","the","rt"
"53",172,5,"this","is","the","first","time"
"54",171,5,"am","i","the","only","one"
"55",170,5,"in","the","bottom","of","the"
"56",169,5,"when","i","was","a","kid"
"57",166,5,"a","couple","of","weeks","ago"
"58",164,5,"on","both","sides","of","the"
"59",164,5,"you","have","to","do","is"
"60",163,5,"to","get","out","of","the"
"61",162,5,"happy","mothers","day","to","all"
"62",162,5,"to","find","a","way","to"
"63",160,5,"is","one","of","my","favorite"
"64",160,5,"let","us","know","if","you"
"65",159,5,"as","a","result","of","the"
"66",158,5,"it","was","going","to","be"
"67",158,5,"iâ","m","not","going","to"
"68",158,5,"you","donâ","t","have","to"
"69",157,5,"that","awkward","moment","when","you"
"70",156,5,"if","you","have","any","questions"
"71",155,5,"let","me","know","what","you"
"72",154,5,"on","the","side","of","the"
"73",153,5,"can't","wait","to","see","the"
"74",153,5,"going","to","be","able","to"
"75",153,5,"there","is","a","lot","of"
"76",151,5,"at","the","start","of","the"
"77",149,5,"i","donâ","t","know","if"
"78",149,5,"thanks","for","the","heads","up"
"79",149,5,"when","it","comes","to","the"
"80",148,5,"in","the","back","of","the"
"81",147,5,"to","come","up","with","a"
"82",146,5,"i","have","a","lot","of"
"83",146,5,"i","hope","you","have","a"
"84",145,5,"i","donâ","t","know","what"
"85",145,5,"it","was","one","of","the"
"86",144,5,"can't","wait","to","see","what"
"87",144,5,"turned","out","to","be","a"
"88",142,5,"hope","to","see","you","there"
"89",141,5,"going","to","be","a","great"
"90",141,5,"the","end","of","the","season"
"91",140,5,"i","think","i'm","going","to"
"92",140,5,"what","do","you","think","of"
"93",138,5,"every","once","in","a","while"
"94",138,5,"with","the","rest","of","the"
"95",135,5,"all","the","way","to","the"
"96",135,5,"thank","you","to","everyone","who"
"97",134,5,"it","is","going","to","be"
"98",133,5,"a","couple","of","years","ago"
"99",133,5,"at","the","end","of","this"
"100",132,5,"i","am","looking","forward","to"
"101",132,5,"one","of","the","most","important"
"102",132,5,"the","dow","jones","industrial","average"
"103",131,5,"i","want","to","go","to"
"104",131,5,"itâ","s","going","to","be"
"105",131,5,"the","end","of","the","world"
"106",131,5,"ã","ã","ã","ã","ã"
"107",130,5,"at","the","end","of","a"
"108",130,5,"i","didnâ","t","want","to"
"109",130,5,"the","right","thing","to","do"
"110",130,5,"there","was","a","lot","of"
"111",128,5,"be","sure","to","check","out"
"112",128,5,"had","nothing","to","do","with"
"113",128,5,"president","of","the","united","states"
"114",128,5,"to","be","part","of","the"
"115",128,5,"was","going","to","be","a"
"116",127,5,"nothing","to","do","with","the"
"117",127,5,"the","rest","of","my","life"
"118",126,5,"could","not","be","reached","for"
"119",126,5,"over","the","course","of","the"
"120",124,5,"hope","you","had","a","great"
"121",124,5,"i","donâ","t","know","how"
"122",124,5,"incorporated","in","item","c","above"
"123",124,5,"the","end","of","the","week"
"124",124,5,"we","have","a","lot","of"
"125",123,5,"a","year","and","a","half"
"126",122,5,"an","hour","and","a","half"
"127",122,5,"it","was","the","first","time"
"128",122,5,"not","be","reached","for","comment"
"129",122,5,"to","the","top","of","the"
"130",121,5,"in","the","united","states","and"
"131",121,5,"in","the","wake","of","the"
"132",121,5,"is","it","just","me","or"
"133",121,5,"keep","an","eye","out","for"
"134",121,5,"the","good","news","is","that"
"135",121,5,"you","know","what","i","mean"
"136",120,5,"and","at","the","same","time"
"137",120,5,"i'm","going","to","have","to"
"138",120,5,"i","wish","i","had","a"
"139",120,5,"in","the","top","of","the"
"140",120,5,"looking","forward","to","seeing","you"
"141",118,5,"be","a","part","of","the"
"142",118,5,"i","don't","want","to","be"
"143",118,5,"if","you","want","to","be"
"144",118,5,"in","the","form","of","a"
"145",117,5,"all","i","can","say","is"
"146",117,5,"i","fell","in","love","with"
"147",117,5,"ðÿ","ðÿ","ðÿ","ðÿ","ðÿ"
"148",116,5,"look","forward","to","seeing","you"
"149",116,5,"me","know","what","you","think"
"150",116,5,"the","side","of","the","road"
"151",116,5,"you","so","much","for","the"
"152",114,5,"going","to","be","a","good"
"153",114,5,"had","a","great","time","at"
"154",114,5,"is","a","great","way","to"
"155",114,5,"it","is","what","it","is"
"156",112,5,"i","am","not","going","to"
"157",112,5,"i","want","to","do","is"
"158",112,5,"is","going","to","be","the"
"159",112,5,"keep","up","the","great","work"
"160",112,5,"the","first","half","of","the"
"161",112,5,"the","first","round","of","the"
"162",111,5,"at","the","same","time","i"
"163",111,5,"i","would","love","to","see"
"164",111,5,"trying","to","figure","out","how"
"165",110,5,"i","just","finished","a","mi"
"166",110,5,"just","finished","a","mi","run"
"167",110,5,"on","my","way","to","the"
"168",110,5,"thanks","to","everyone","who","came"
"169",110,5,"to","everyone","who","came","out"
"170",109,5,"a","chance","to","win","a"
"171",109,5,"let","us","know","what","you"
"172",109,5,"spent","a","lot","of","time"
"173",108,5,"finished","a","mi","run","with"
"174",108,5,"going","to","be","a","long"
"175",107,5,"in","item","c","above","pp"
"176",107,5,"one","of","my","all","time"
