"","count","n","col5","col4","col3","col2","col1","output"
"1",416,6,"at","the","end","of","the","day"
"2",194,6,"on","the","other","side","of","the"
"3",186,6,"â","â","â","â","â","â"
"4",177,6,"in","the","middle","of","the","night"
"5",155,6,"all","you","have","to","do","is"
"6",126,6,"this","is","going","to","be","a"
"7",121,6,"could","not","be","reached","for","comment"
"8",116,6,"let","me","know","what","you","think"
"9",116,6,"thank","you","so","much","for","the"
"10",110,6,"i","just","finished","a","mi","run"
"11",108,6,"just","finished","a","mi","run","with"
"12",100,6,"happy","mothers","day","to","all","the"
"13",98,6,"a","means","for","sites","to","earn"
"14",98,6,"a","participant","in","the","amazon","services"
"15",98,6,"advertising","and","linking","to","amazon.com","amazon.ca"
"16",98,6,"advertising","fees","by","advertising","and","linking"
"17",98,6,"amazon.ca","amazon.co.uk","amazon.de","amazon.fr","amazon.it","and"
"18",98,6,"amazon.co.uk","amazon.de","amazon.fr","amazon.it","and","amazon.es"
"19",98,6,"amazon.com","amazon.ca","amazon.co.uk","amazon.de","amazon.fr","amazon.it"
"20",98,6,"amazon","eu","associates","programmes","designed","to"
"21",98,6,"amazon","services","llc","and","amazon","eu"
"22",98,6,"amazon","services","llc","and","or","amazon"
"23",98,6,"and","amazon","eu","associates","programmes","designed"
"24",98,6,"and","is","subject","to","change","or"
"25",98,6,"and","linking","to","amazon.com","amazon.ca","amazon.co.uk"
"26",98,6,"appears","on","this","website","comes","from"
"27",98,6,"associates","programmes","designed","to","provide","a"
"28",98,6,"by","advertising","and","linking","to","amazon.com"
"29",98,6,"certain","content","that","appears","on","this"
"30",98,6,"change","or","removal","at","any","time"
"31",98,6,"comes","from","amazon","services","llc","and"
"32",98,6,"content","is","provided","â","œas","isâ"
"33",98,6,"content","that","appears","on","this","website"
"34",98,6,"designed","to","provide","a","means","for"
"35",98,6,"earn","advertising","fees","by","advertising","and"
"36",98,6,"eu","associates","programmes","designed","to","provide"
"37",98,6,"fees","by","advertising","and","linking","to"
"38",98,6,"for","sites","to","earn","advertising","fees"
"39",98,6,"from","amazon","services","llc","and","or"
"40",98,6,"happy","mother's","day","to","all","the"
"41",98,6,"in","the","amazon","services","llc","and"
"42",98,6,"is","a","participant","in","the","amazon"
"43",98,6,"is","provided","â","œas","isâ","and"
"44",98,6,"is","subject","to","change","or","removal"
"45",98,6,"isâ","and","is","subject","to","change"
"46",98,6,"linking","to","amazon.com","amazon.ca","amazon.co.uk","amazon.de"
"47",98,6,"llc","and","amazon","eu","associates","programmes"
"48",98,6,"means","for","sites","to","earn","advertising"
"49",98,6,"on","this","website","comes","from","amazon"
"50",98,6,"participant","in","the","amazon","services","llc"
"51",98,6,"programmes","designed","to","provide","a","means"
"52",98,6,"provide","a","means","for","sites","to"
"53",98,6,"provided","â","œas","isâ","and","is"
"54",98,6,"services","llc","and","amazon","eu","associates"
"55",98,6,"services","llc","and","or","amazon","eu"
"56",98,6,"sites","to","earn","advertising","fees","by"
"57",98,6,"subject","to","change","or","removal","at"
"58",98,6,"that","appears","on","this","website","comes"
"59",98,6,"the","amazon","services","llc","and","amazon"
"60",98,6,"this","content","is","provided","â","œas"
"61",98,6,"this","website","comes","from","amazon","services"
"62",98,6,"to","amazon.com","amazon.ca","amazon.co.uk","amazon.de","amazon.fr"
"63",98,6,"to","change","or","removal","at","any"
"64",98,6,"to","earn","advertising","fees","by","advertising"
"65",98,6,"to","provide","a","means","for","sites"
"66",98,6,"website","comes","from","amazon","services","llc"
"67",98,6,"â","œas","isâ","and","is","subject"
"68",98,6,"œas","isâ","and","is","subject","to"
"69",97,6,"incorporated","in","item","c","above","pp"
"70",96,6,"by","the","end","of","the","year"
"71",94,6,"there","is","no","such","thing","as"
"72",93,6,"at","the","end","of","the","year"
"73",92,6,"rock","and","roll","hall","of","fame"
"74",91,6,"but","at","the","end","of","the"
"75",87,6,"at","the","end","of","the","month"
"76",86,6,"am","i","the","only","one","who"
"77",86,6,"hope","you","have","a","great","day"
"78",85,6,"all","i","want","to","do","is"
"79",84,6,"calories","g","protein","g","carbohydrate","g"
